"pathway"	"padj"	"ES"	"NES"
"REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM"	0.015579720625845	0.75332360395956	1.94862879181996
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1"	0.0152078075439369	0.441612088494537	1.67242022644348
"REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES"	0.002767182958471	0.385723877160786	1.55592356963409
"REACTOME_RHO_GTPASE_CYCLE"	0.0152078075439369	0.35562030619527	1.47279742583268
"REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"	0.00268959638913294	0.346008383497885	1.45638198136688
"REACTOME_METABOLISM_OF_RNA"	0.00268959638913294	0.340502906588085	1.43472533019631
"REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES"	0.0152078075439369	0.338928687570341	1.41163486716071
"REACTOME_MEMBRANE_TRAFFICKING"	0.015579720625845	0.324758921463706	1.36060460019136
"REACTOME_CELLULAR_RESPONSES_TO_STIMULI"	0.015579720625845	0.320723903374892	1.3584083940993
"REACTOME_INNATE_IMMUNE_SYSTEM"	0.0152078075439369	0.302091698409849	1.31119200246139
"REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA"	0.229263907697381	-0.487296293593602	-1.45329204056118
"REACTOME_CD22_MEDIATED_BCR_REGULATION"	0.265243864645884	-0.501249889686007	-1.4550536900727
"REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS"	0.265243864645884	-0.603794465680702	-1.46708478007702
"REACTOME_ETHANOL_OXIDATION"	0.265243864645884	-0.704797766624129	-1.47182112665505
"REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION"	0.2104685759179	-0.495896500783656	-1.48469081536377
"REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS"	0.265243864645884	-0.637436394164521	-1.49356955417754
"REACTOME_IRF3_MEDIATED_INDUCTION_OF_TYPE_I_IFN"	0.157190707585902	-0.747231008860956	-1.56043398179473
"REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES"	0.100709785017512	-0.783540696962159	-1.70016650657301
"REACTOME_DEFECTS_OF_CONTACT_ACTIVATION_SYSTEM_CAS_AND_KALLIKREIN_KININ_SYSTEM_KKS"	0.0700243386769852	-0.75385541529962	-1.70159966072365
"REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES"	0.0556386773742107	-0.622251442676182	-1.72972175444209
