"gene"	"log2FoldChange"	"padj"
"ENSG00000210154.1"	2.38788810590231	3.13929040963123e-39
"ENSG00000210156.1"	2.29831109145776	3.5447555606566e-44
"ENSG00000281181.1"	2.07846529214042	7.33478020592685e-29
"ENSG00000281383.1"	1.5831271386044	1.13604767726021e-32
"ENSG00000210140.1"	1.46680769832931	5.1081141099178e-30
"ENSG00000202538.1"	1.38993092103454	3.79392885007142e-20
"ENSG00000108342.12"	1.35391092680393	1.89174705170217e-18
"ENSG00000181143.15"	1.28879081351697	2.75824970989636e-20
"ENSG00000179914.4"	1.28343287611674	2.39266844238855e-17
"ENSG00000137392.9"	1.27423144310199	4.03962799300992e-11
