"gene"	"log2FoldChange"	"padj"
"ENSG00000151365.2"	1.46945030847688	4.88871721985748e-11
"ENSG00000174697.4"	1.44520004941044	3.00348176564699e-11
"ENSG00000202538.1"	1.21939909451629	1.66723788057895e-06
"ENSG00000105880.4"	1.16731745159841	1.62375036117457e-11
"ENSG00000254211.5"	1.15594292423172	7.33547266564727e-08
"ENSG00000181092.9"	1.11217175271223	3.17425268844331e-07
"ENSG00000146678.9"	1.06323873492394	0.000511180862754168
"ENSG00000215182.8"	1.06045882953609	0.000137990503237152
"ENSG00000006128.11"	1.03963168152785	1.82221636433929e-05
"ENSG00000166819.11"	1.03772551811982	4.66426168276859e-09
