"gene"	"log2FoldChange"	"padj"
"ENSG00000210156.1"	2.26708027297353	2.23149418894183e-21
"ENSG00000281181.1"	1.84878299553861	5.42088556795384e-11
"ENSG00000281383.1"	1.43701464968952	4.02233735171698e-13
"ENSG00000202538.1"	1.32422843036314	3.56915562584861e-09
"ENSG00000164821.4"	1.24490276528411	6.99603032758473e-09
"ENSG00000259384.6"	1.22182931788967	6.59127004728755e-10
"ENSG00000137392.9"	1.14927024242662	4.27074829823817e-05
"ENSG00000172232.9"	1.12665021729916	3.78853517955399e-12
"ENSG00000110245.11"	1.05698084175419	2.25922924527561e-06
"ENSG00000279691.1"	1.05126521701131	7.37856595553767e-09
