"gene"	"log2FoldChange"	"padj"
"ENSG00000172179.11"	2.48142705789053	1.03734871059044e-08
"ENSG00000259384.6"	2.36786082625385	2.68067471686133e-11
"ENSG00000176840.11"	2.15391548661995	3.00121232979451e-08
"ENSG00000229859.9"	1.89117713123679	7.01070044829442e-05
"ENSG00000104826.12"	1.78594870649072	3.1620824024389e-09
"ENSG00000140465.13"	1.77650648737445	5.24684740398354e-06
"ENSG00000232810.3"	1.77004798663216	1.28027263458686e-13
"ENSG00000262902.1"	1.76375010433694	3.79943536583995e-11
"ENSG00000172232.9"	1.73765085785682	2.2696206022985e-09
"ENSG00000170827.9"	1.71086346330576	1.84821638628638e-07
