"gene"	"log2FoldChange"	"padj"
"ENSG00000281181.1"	2.23932382440342	2.72337785222459e-05
"ENSG00000202538.1"	2.13070498501712	1.48542284959279e-07
"ENSG00000174697.4"	2.00613479846829	3.69363456059624e-11
"ENSG00000281383.1"	1.83991180570417	3.21160150294025e-07
"ENSG00000181092.9"	1.62994102085764	3.08377889646202e-08
"ENSG00000254211.5"	1.62315597370171	2.37864024992544e-07
"ENSG00000124159.15"	1.51535806773384	0.000841762605943346
"ENSG00000130876.11"	1.44761422715355	1.74988349763538e-06
"ENSG00000187288.10"	1.42134305466561	5.39997654406857e-07
"ENSG00000166819.11"	1.40000373984167	9.3567614986647e-09
