"gene"	"log2FoldChange"	"padj"
"ENSG00000277247.1"	2.83458406300656	2.70854928072429e-05
"ENSG00000189410.11"	2.12249149456757	9.20516633287648e-05
"ENSG00000223609.7"	1.97384745791007	0.00141489813969125
"ENSG00000149948.13"	1.86671007488623	8.32396381085359e-05
"ENSG00000086506.2"	1.8515057454664	0.00138370651473203
"ENSG00000124875.9"	1.78722178737998	0.000142097492917071
"ENSG00000239839.6"	1.7853633935978	0.0014275160698156
"ENSG00000163435.15"	1.65690292074487	0.00094586970471792
"ENSG00000229604.2"	1.63534420495518	2.70854928072429e-05
"ENSG00000101670.11"	1.624666270412	0.00055775722994749
