"gene"	"log2FoldChange"	"padj"
"ENSG00000210191.1"	2.86952531728544	5.38620107648253e-34
"ENSG00000210156.1"	2.62936436965954	5.68953325831352e-24
"ENSG00000086506.2"	2.58882879463936	2.49980585690123e-27
"ENSG00000158578.18"	2.27316899913342	3.44409715107388e-37
"ENSG00000206172.8"	2.20464744295032	8.15155637186997e-47
"ENSG00000004939.13"	2.18600138441691	8.20195162146806e-35
"ENSG00000260592.1"	2.18498464796165	3.44962976477844e-23
"ENSG00000169877.9"	2.18493381084325	9.921665795052e-26
"ENSG00000213934.6"	2.14191377178055	3.81995264905427e-20
"ENSG00000188536.12"	2.11692732468644	2.25414080662334e-47
