"gene"	"log2FoldChange"	"padj"
"ENSG00000210156.1"	2.53965640821205	3.73786230799599e-37
"ENSG00000281181.1"	2.34055705585257	1.043251680717e-22
"ENSG00000124159.15"	1.83201955269758	3.27008776885452e-22
"ENSG00000223609.7"	1.8241382277058	7.27721140976781e-18
"ENSG00000210140.1"	1.63476741533672	2.97553825142024e-22
"ENSG00000202538.1"	1.59348411912786	9.90434910886897e-17
"ENSG00000118972.1"	1.53238866713691	1.94623616656678e-15
"ENSG00000086506.2"	1.46712280031305	2.06344051474478e-13
"ENSG00000158578.18"	1.44598742765024	2.91556596775152e-20
"ENSG00000206172.8"	1.44588473621945	1.06258877449725e-25
