"gene"	"log2FoldChange"	"padj"
"ENSG00000174697.4"	2.0495701329229	1.03662461327386e-11
"ENSG00000151365.2"	1.77409674871886	4.1461353767745e-08
"ENSG00000181092.9"	1.66543592750297	6.69996727495503e-09
"ENSG00000254211.5"	1.62754049078296	2.1842487754987e-07
"ENSG00000187288.10"	1.52269408721555	4.1461353767745e-08
"ENSG00000166819.11"	1.49184633275916	2.74304641369612e-10
"ENSG00000130876.11"	1.36053569377674	1.89439130160168e-05
"ENSG00000166828.2"	1.30403290631309	0.000119775564064493
"ENSG00000133317.14"	1.28263824545911	4.69686608134806e-07
"ENSG00000145824.12"	1.16545894118114	4.9432497991871e-10
