"gene"	"log2FoldChange"	"padj"
"ENSG00000210156.1"	2.36175410321056	1.28229393455489e-34
"ENSG00000210154.1"	2.26890413796787	8.64449667099765e-32
"ENSG00000281181.1"	1.95961178126362	1.3815017599659e-18
"ENSG00000108342.12"	1.66851907965468	2.9909722818212e-24
"ENSG00000281383.1"	1.46709648730043	7.77497457220492e-20
"ENSG00000118972.1"	1.44700091080042	4.42590468056733e-16
"ENSG00000202538.1"	1.44642041116267	5.45811702047075e-16
"ENSG00000210140.1"	1.42810112040674	2.72954065811994e-21
"ENSG00000164821.4"	1.29335091503853	1.10921887445648e-13
"ENSG00000172232.9"	1.29225622016536	9.22839834914045e-24
