"gene"	"log2FoldChange"	"padj"
"ENSG00000281181.1"	2.38396037037905	9.31472850386031e-15
"ENSG00000202538.1"	1.86738281576041	1.18717314536826e-14
"ENSG00000151365.2"	1.51691496042402	4.00313126781187e-12
"ENSG00000146678.9"	1.42768191485129	4.61740470917989e-07
"ENSG00000174697.4"	1.3272805929774	9.01112031259681e-10
"ENSG00000006128.11"	1.26083019144201	1.14405157430607e-07
"ENSG00000128510.10"	1.20096854979169	1.43355700687345e-05
"ENSG00000283907.1"	1.1917098571244	7.30695677883257e-06
"ENSG00000215182.8"	1.12659323996272	2.00181604512699e-05
"ENSG00000211660.3"	1.12192972524972	2.9099011177444e-06
