"gene"	"log2FoldChange"	"padj"
"ENSG00000183813.6"	3.88720996818294	1.77397266123486e-17
"ENSG00000102468.10"	2.92282407339329	1.17217408991891e-11
"ENSG00000257894.2"	2.27613886928749	5.37083803479951e-05
"ENSG00000178773.14"	2.2342290109698	4.33580343351991e-09
"ENSG00000261039.2"	1.96685581464086	2.34155378806431e-05
"ENSG00000202538.1"	1.95955763443823	0.000172579970599178
"ENSG00000167105.7"	1.95539850490487	7.55434483993819e-07
"ENSG00000215182.8"	1.94959651700777	0.000193760729075324
"ENSG00000095752.6"	1.94043949710626	3.06220273940219e-06
"ENSG00000146678.9"	1.9214310878833	0.000800399398301852
