"gene"	"log2FoldChange"	"padj"
"ENSG00000210154.1"	2.56752691126136	2.99748957763238e-22
"ENSG00000086506.2"	2.06121059561896	3.24961776409916e-16
"ENSG00000202538.1"	1.94622602364652	4.594083816998e-15
"ENSG00000239839.6"	1.69735206642106	3.60320036549563e-15
"ENSG00000223609.7"	1.68149267760103	3.81358980927494e-10
"ENSG00000004939.13"	1.67998468091181	1.87123294672717e-18
"ENSG00000213934.6"	1.6039977954672	3.61043725300899e-11
"ENSG00000200879.1"	1.601006123054	4.88181766288919e-12
"ENSG00000149516.13"	1.58714025144695	6.79205799949552e-12
"ENSG00000164821.4"	1.58073118538415	7.39319607103002e-11
