"gene"	"log2FoldChange"	"padj"
"ENSG00000210191.1"	3.8454419918241	7.25965162250663e-18
"ENSG00000223609.7"	3.63284220339111	2.41646335221574e-13
"ENSG00000086506.2"	3.28951619257154	5.10550376758028e-12
"ENSG00000179914.4"	2.90443282618663	2.73232022624489e-11
"ENSG00000281181.1"	2.63843648650643	2.31921497641755e-06
"ENSG00000158578.18"	2.59552024228302	2.65551066268886e-12
"ENSG00000260592.1"	2.58454601405953	2.04842228578746e-09
"ENSG00000213934.6"	2.51894356501711	2.21132490572602e-08
"ENSG00000176840.11"	2.51849734872938	2.20133044246742e-08
"ENSG00000283907.1"	2.46377497692698	1.0212555910496e-08
