"gene"	"log2FoldChange"	"padj"
"ENSG00000210156.1"	2.27168631425018	2.17934921602131e-28
"ENSG00000281181.1"	2.09900346037732	1.76597661108589e-19
"ENSG00000223609.7"	2.05632719458333	3.77239093369156e-26
"ENSG00000169429.10"	1.73910336101616	2.09287150216488e-37
"ENSG00000281383.1"	1.60643324421633	8.43803501278614e-23
"ENSG00000158578.18"	1.55757070902001	1.51564182303896e-27
"ENSG00000202538.1"	1.52804206607172	1.53217502098672e-16
"ENSG00000169245.5"	1.5145579271946	1.58451526065831e-26
"ENSG00000118972.1"	1.50256270276723	1.27026250685055e-15
"ENSG00000086506.2"	1.50199388470283	2.50708846828413e-16
