"gene"	"log2FoldChange"	"padj"
"ENSG00000140465.13"	2.42855521515553	5.18533754095776e-25
"ENSG00000281181.1"	2.05701905202747	8.58115297366083e-12
"ENSG00000118972.1"	1.70297949577611	8.3274051312459e-12
"ENSG00000281383.1"	1.69188230117381	2.81945719160246e-15
"ENSG00000283907.1"	1.50133268812901	1.18786045048624e-10
"ENSG00000283209.1"	1.49028603968129	6.95165320361355e-13
"ENSG00000004939.13"	1.42239898353175	4.15923257422659e-13
"ENSG00000272799.1"	1.41404530250575	1.74927714374411e-14
"ENSG00000279691.1"	1.41047000346977	1.97562425469157e-11
"ENSG00000262902.1"	1.41018393291838	1.87059709206726e-18
