"gene"	"log2FoldChange"	"padj"
"ENSG00000210154.1"	2.35337409416064	2.79351057664959e-34
"ENSG00000281181.1"	2.00665856919183	3.87733740066893e-15
"ENSG00000140465.13"	1.59613013712806	2.37552215416494e-15
"ENSG00000179914.4"	1.45681875537947	4.91443276462329e-15
"ENSG00000202538.1"	1.43682058672961	1.67496789656855e-12
"ENSG00000210140.1"	1.43098338433889	1.00663670068746e-15
"ENSG00000102854.15"	1.21377900748699	6.74316263471657e-12
"ENSG00000086506.2"	1.19904612809873	3.27880854030615e-09
"ENSG00000169347.16"	1.18925927968019	1.78567715575448e-06
"ENSG00000108342.12"	1.17597287934626	2.2040447015713e-09
