"gene"	"log2FoldChange"	"padj"
"ENSG00000210154.1"	2.09257825765762	9.73726551237674e-16
"ENSG00000202538.1"	1.58266658177698	2.27477970725621e-10
"ENSG00000200879.1"	1.42560008788443	1.5653095932739e-10
"ENSG00000259710.1"	1.34845769800216	1.59134009590846e-10
"ENSG00000277581.1"	1.33354937699257	4.59579524395461e-17
"ENSG00000267703.1"	1.32779834942687	5.67785290694256e-13
"ENSG00000260799.1"	1.32391511314058	9.1051987045264e-15
"ENSG00000169429.10"	1.31331627004727	6.43492743269165e-13
"ENSG00000237070.1"	1.27971074575444	8.48822529853496e-20
"ENSG00000118972.1"	1.27571224996715	1.96660583353674e-07
