"gene"	"log2FoldChange"	"padj"
"ENSG00000210154.1"	2.21478373170221	4.06197144206917e-31
"ENSG00000140465.13"	2.0215751824285	6.62600356433936e-28
"ENSG00000281181.1"	1.72565732419346	5.95297203578416e-12
"ENSG00000086506.2"	1.46770358084969	1.16092418705467e-14
"ENSG00000179914.4"	1.36412870692708	1.30462666008954e-14
"ENSG00000202538.1"	1.34874931953557	1.12099748856043e-11
"ENSG00000169429.10"	1.29525894677638	1.0120721500302e-18
"ENSG00000266378.1"	1.29355086661089	2.17674722953573e-18
"ENSG00000210195.2"	1.28856397003939	2.65981152967234e-14
"ENSG00000169245.5"	1.28050170070122	5.49161401291029e-17
