"gene"	"log2FoldChange"	"padj"
"ENSG00000158578.18"	2.90677282745637	2.00706806024854e-18
"ENSG00000213934.6"	2.90659148492026	5.53593695145162e-12
"ENSG00000260592.1"	2.80630207491189	8.8470056380747e-13
"ENSG00000169877.9"	2.76080949194144	7.23292007902171e-13
"ENSG00000188536.12"	2.65956074006154	2.89106639313653e-21
"ENSG00000196565.13"	2.48751306249755	6.88162726579344e-14
"ENSG00000215182.8"	2.48502469144861	9.00361618967635e-12
"ENSG00000206177.6"	2.41650195156802	1.42393857094956e-11
"ENSG00000261039.2"	2.39306720059442	4.00403237940442e-11
"ENSG00000095752.6"	2.37505855058113	2.74141625103415e-14
