"gene"	"log2FoldChange"	"padj"
"ENSG00000223609.7"	3.36549087881887	1.40651749510545e-09
"ENSG00000202538.1"	3.22110132105955	1.09236401032849e-10
"ENSG00000124159.15"	2.69050202802037	1.85718638712779e-10
"ENSG00000105664.10"	2.55871101562959	3.61802902937791e-12
"ENSG00000158578.18"	2.42581730865711	5.17348915771578e-09
"ENSG00000086506.2"	2.38876460329075	1.08023678356918e-05
"ENSG00000261039.2"	2.30350040146193	5.69022972628211e-08
"ENSG00000171951.4"	2.17934190144962	3.61802902937791e-12
"ENSG00000095752.6"	2.14105301837558	1.46560853132977e-08
"ENSG00000106483.11"	2.11015777571072	8.64917200054164e-11
