"gene"	"log2FoldChange"	"padj"
"ENSG00000223609.7"	1.5987759057579	2.20274678941526e-06
"ENSG00000159261.10"	1.55164436556974	9.7493322972918e-06
"ENSG00000215182.8"	1.47673446040872	1.83500138764457e-06
"ENSG00000237070.1"	1.25213079573119	1.65670746695219e-10
"ENSG00000228495.1"	1.24038504197634	2.97087010696827e-05
"ENSG00000169245.5"	1.2300828444513	7.97014782836624e-07
"ENSG00000241112.1"	1.22161840015745	1.00020447836153e-07
"ENSG00000206177.6"	1.20157470383119	7.58812902574346e-06
"ENSG00000267703.1"	1.19467901010892	5.76510849998517e-06
"ENSG00000086506.2"	1.17157072086133	0.00030883226197253
