"gene"	"log2FoldChange"	"padj"
"ENSG00000210156.1"	2.25366800064673	6.11023666250229e-33
"ENSG00000281181.1"	1.97252399850118	2.08860885407766e-17
"ENSG00000118972.1"	1.53719639792364	1.18558974626444e-16
"ENSG00000210140.1"	1.45355194116645	2.91083105721813e-22
"ENSG00000163435.15"	1.34906166989276	1.07605158501554e-20
"ENSG00000140465.13"	1.3345210973713	4.93880224552857e-13
"ENSG00000137392.9"	1.31107008030585	1.43606275010952e-08
"ENSG00000202538.1"	1.29164016106753	3.35153188922525e-12
"ENSG00000210154.1"	1.26207770950559	1.638949173269e-09
"ENSG00000168928.12"	1.25780655140867	1.63675339444622e-09
