"gene"	"log2FoldChange"	"padj"
"ENSG00000202538.1"	1.54431903770039	3.89057570963707e-07
"ENSG00000279431.1"	1.22650909730982	9.64192150896792e-07
"ENSG00000283265.1"	1.1354081509723	5.83430501848442e-06
"ENSG00000180053.7"	1.12284013756268	1.88382882929498e-05
"ENSG00000108759.3"	1.10748608343311	5.61065713010292e-05
"ENSG00000214940.8"	1.10605462354879	0.000244470539353801
"ENSG00000257647.1"	1.03124858329476	5.6758733269642e-14
"ENSG00000229807.10"	1.02738227275913	0.00063897369165434
"ENSG00000122735.15"	1.02254098105002	2.99604478601124e-06
"ENSG00000235832.2"	1.0216100827168	5.81754364281552e-06
